Pais,Ciudad,Mesa,EG,EG_UNTC,EG_MPV,EG_MUD,EG_VTV,NM,NM_PSUV,NM_PCV,NM_TUPAMARO,NM_PPT,NM_MSV,NM_PODEMOS,NM_MEP,NM_APC,NM_ORA,NM_UPV,NM_EV,NM_PVV,NM_PFV,NM_VTV,LM,LM_AD,LM_COPEI,LM_MR,LM_BR,LM_DDP,LM_UNE,LM_VTV,JABE,JABE_EL_CAMBIO,JOBR,JOBR_PV,JOBR_VU,JOBR_UVV,JOBR_MPJ,JOBR_VTV,AE,AE_AP,AE_MOVEV,AE_CMC,AE_FV,AE_LAPIZ,AE_MIN_UNIDAD,AE_VTV,CF,CF_SPV,DC,DC_VPA,DC_AREPA,EM,EM_CENTRADOS,BERA,BERA_CONDE,VOTOS_VALIDOS,VOTOS_NULOS
Japón,Tokio,1,21,0,1,20,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0
Malasia,Kuala Lumpur,1,15,1,0,14,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
Marruecos,Rabat,1,1,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
México,Ciudad de México,1,249,4,11,234,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,1
México,Ciudad de México,2,237,7,8,222,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,250,0
México,Ciudad de México,3,231,4,10,217,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0
México,Ciudad de México,4,239,4,8,227,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0
México,Ciudad de México,5,231,4,5,222,2,6,5,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,252,1
México,Ciudad de México,6,244,12,10,222,0,9,8,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,264,0
Noruega,Oslo,1,60,0,0,60,1,6,5,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,75,0
Noruega,Oslo,2,73,5,2,66,0,7,5,1,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,89,0
Paises Bajos,Aruba,1,142,4,9,129,0,31,26,3,1,0,0,1,0,0,0,0,0,0,0,0,,1,0,0,0,2,0,0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,217,3
Paises Bajos,Aruba,2,151,1,11,139,0,30,22,1,1,3,0,0,0,0,0,2,0,0,1,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,221,0
Paises Bajos,Aruba,3,142,6,5,131,0,26,17,1,0,1,0,1,0,0,2,2,0,0,2,0,,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,204,0
Paises Bajos,Curazao,1,218,2,3,213,0,15,12,0,0,1,0,0,1,0,0,0,0,0,0,1,,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,256,3
Paises Bajos,La Haya,1,80,1,2,77,0,11,10,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,106,0
Paises Bajos,La Haya,2,77,3,0,74,1,10,7,0,2,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,101,1
